localsymbol,secType,symbol,expiry,right,multiplier,strike
QQQ   141114C00083500,OPT,QQQ,20141114,C,100,83.5
QQQ   141114C00083000,OPT,QQQ,20141114,C,100,83
QQQ   141114C00084500,OPT,QQQ,20141114,C,100,84.5
QQQ   141114C00084000,OPT,QQQ,20141114,C,100,84
QQQ   141114C00085000,OPT,QQQ,20141114,C,100,85
QQQ   141114P00080000,OPT,QQQ,20141114,P,100,80
QQQ   141114P00081000,OPT,QQQ,20141114,P,100,81
QQQ   141114P00082000,OPT,QQQ,20141114,P,100,82
QQQ   141114P00083500,OPT,QQQ,20141114,P,100,83.5
QQQ   141114P00083000,OPT,QQQ,20141114,P,100,83
QQQ   141114P00084500,OPT,QQQ,20141114,P,100,84.5
QQQ   141114P00084000,OPT,QQQ,20141114,P,100,84
QQQ   141114P00085000,OPT,QQQ,20141114,P,100,85
QQQ   141114C00074000,OPT,QQQ,20141114,C,100,74
QQQ   141114C00075000,OPT,QQQ,20141114,C,100,75
QQQ   141114C00076000,OPT,QQQ,20141114,C,100,76
QQQ   141114C00077000,OPT,QQQ,20141114,C,100,77
QQQ   141114C00078000,OPT,QQQ,20141114,C,100,78
QQQ   141114C00079000,OPT,QQQ,20141114,C,100,79
QQQ   141114P00074000,OPT,QQQ,20141114,P,100,74
QQQ   141114P00075000,OPT,QQQ,20141114,P,100,75
QQQ   141114P00076000,OPT,QQQ,20141114,P,100,76
QQQ   141114P00077000,OPT,QQQ,20141114,P,100,77
QQQ   141114P00078000,OPT,QQQ,20141114,P,100,78
QQQ   141114P00079000,OPT,QQQ,20141114,P,100,79
QQQ   141114C00072000,OPT,QQQ,20141114,C,100,72
QQQ   141114C00073000,OPT,QQQ,20141114,C,100,73
QQQ   141114P00072000,OPT,QQQ,20141114,P,100,72
QQQ   141114P00073000,OPT,QQQ,20141114,P,100,73
QQQ   141114C00105500,OPT,QQQ,20141114,C,100,105.5
QQQ   141114C00106500,OPT,QQQ,20141114,C,100,106.5
QQQ   141114P00105500,OPT,QQQ,20141114,P,100,105.5
QQQ   141114P00106500,OPT,QQQ,20141114,P,100,106.5
QQQ   141114C00107500,OPT,QQQ,20141114,C,100,107.5
QQQ   141114C00108500,OPT,QQQ,20141114,C,100,108.5
QQQ   141114P00107500,OPT,QQQ,20141114,P,100,107.5
QQQ   141114P00108500,OPT,QQQ,20141114,P,100,108.5
QQQ   141114C00100500,OPT,QQQ,20141114,C,100,100.5
QQQ   141114C00100000,OPT,QQQ,20141114,C,100,100
QQQ   141114C00101500,OPT,QQQ,20141114,C,100,101.5
QQQ   141114C00101000,OPT,QQQ,20141114,C,100,101
QQQ   141114C00102500,OPT,QQQ,20141114,C,100,102.5
QQQ   141114C00102000,OPT,QQQ,20141114,C,100,102
QQQ   141114C00103500,OPT,QQQ,20141114,C,100,103.5
QQQ   141114C00103000,OPT,QQQ,20141114,C,100,103
QQQ   141114C00104500,OPT,QQQ,20141114,C,100,104.5
QQQ   141114C00104000,OPT,QQQ,20141114,C,100,104
QQQ   141114C00105000,OPT,QQQ,20141114,C,100,105
QQQ   141114C00106000,OPT,QQQ,20141114,C,100,106
QQQ   141114C00107000,OPT,QQQ,20141114,C,100,107
QQQ   141114C00108000,OPT,QQQ,20141114,C,100,108
QQQ   141114C00109000,OPT,QQQ,20141114,C,100,109
QQQ   141114C00110000,OPT,QQQ,20141114,C,100,110
QQQ   141114C00111000,OPT,QQQ,20141114,C,100,111
QQQ   141114C00112000,OPT,QQQ,20141114,C,100,112
QQQ   141114C00113000,OPT,QQQ,20141114,C,100,113
QQQ   141114C00088000,OPT,QQQ,20141114,C,100,88
QQQ   141114C00089000,OPT,QQQ,20141114,C,100,89
QQQ   141114C00090500,OPT,QQQ,20141114,C,100,90.5
QQQ   141114C00090000,OPT,QQQ,20141114,C,100,90
QQQ   141114C00091500,OPT,QQQ,20141114,C,100,91.5
QQQ   141114C00091000,OPT,QQQ,20141114,C,100,91
QQQ   141114C00092500,OPT,QQQ,20141114,C,100,92.5
QQQ   141114C00092000,OPT,QQQ,20141114,C,100,92
QQQ   141114C00093500,OPT,QQQ,20141114,C,100,93.5
QQQ   141114C00093000,OPT,QQQ,20141114,C,100,93
QQQ   141114C00094500,OPT,QQQ,20141114,C,100,94.5
QQQ   141114C00094000,OPT,QQQ,20141114,C,100,94
QQQ   141114C00095500,OPT,QQQ,20141114,C,100,95.5
QQQ   141114C00095000,OPT,QQQ,20141114,C,100,95
QQQ   141114C00096500,OPT,QQQ,20141114,C,100,96.5
QQQ   141114C00096000,OPT,QQQ,20141114,C,100,96
QQQ   141114C00097500,OPT,QQQ,20141114,C,100,97.5
QQQ   141114C00097000,OPT,QQQ,20141114,C,100,97
QQQ   141114C00098500,OPT,QQQ,20141114,C,100,98.5
QQQ   141114C00098000,OPT,QQQ,20141114,C,100,98
QQQ   141114C00099500,OPT,QQQ,20141114,C,100,99.5
QQQ   141114C00099000,OPT,QQQ,20141114,C,100,99
QQQ   141114P00100500,OPT,QQQ,20141114,P,100,100.5
QQQ   141114P00100000,OPT,QQQ,20141114,P,100,100
QQQ   141114P00101500,OPT,QQQ,20141114,P,100,101.5
QQQ   141114P00101000,OPT,QQQ,20141114,P,100,101
QQQ   141114P00102500,OPT,QQQ,20141114,P,100,102.5
QQQ   141114P00102000,OPT,QQQ,20141114,P,100,102
QQQ   141114P00103500,OPT,QQQ,20141114,P,100,103.5
QQQ   141114P00103000,OPT,QQQ,20141114,P,100,103
QQQ   141114P00104500,OPT,QQQ,20141114,P,100,104.5
QQQ   141114P00104000,OPT,QQQ,20141114,P,100,104
QQQ   141114P00105000,OPT,QQQ,20141114,P,100,105
QQQ   141114P00106000,OPT,QQQ,20141114,P,100,106
QQQ   141114P00107000,OPT,QQQ,20141114,P,100,107
QQQ   141114P00108000,OPT,QQQ,20141114,P,100,108
QQQ   141114P00109000,OPT,QQQ,20141114,P,100,109
QQQ   141114P00110000,OPT,QQQ,20141114,P,100,110
QQQ   141114P00111000,OPT,QQQ,20141114,P,100,111
QQQ   141114P00112000,OPT,QQQ,20141114,P,100,112
QQQ   141114P00113000,OPT,QQQ,20141114,P,100,113
QQQ   141114P00088000,OPT,QQQ,20141114,P,100,88
QQQ   141114P00089000,OPT,QQQ,20141114,P,100,89
QQQ   141114P00090500,OPT,QQQ,20141114,P,100,90.5
QQQ   141114P00090000,OPT,QQQ,20141114,P,100,90
QQQ   141114P00091500,OPT,QQQ,20141114,P,100,91.5
QQQ   141114P00091000,OPT,QQQ,20141114,P,100,91
QQQ   141114P00092500,OPT,QQQ,20141114,P,100,92.5
QQQ   141114P00092000,OPT,QQQ,20141114,P,100,92
QQQ   141114P00093500,OPT,QQQ,20141114,P,100,93.5
QQQ   141114P00093000,OPT,QQQ,20141114,P,100,93
QQQ   141114P00094500,OPT,QQQ,20141114,P,100,94.5
QQQ   141114P00094000,OPT,QQQ,20141114,P,100,94
QQQ   141114P00095500,OPT,QQQ,20141114,P,100,95.5
QQQ   141114P00095000,OPT,QQQ,20141114,P,100,95
QQQ   141114P00096500,OPT,QQQ,20141114,P,100,96.5
QQQ   141114P00096000,OPT,QQQ,20141114,P,100,96
QQQ   141114P00097500,OPT,QQQ,20141114,P,100,97.5
QQQ   141114P00097000,OPT,QQQ,20141114,P,100,97
QQQ   141114P00098500,OPT,QQQ,20141114,P,100,98.5
QQQ   141114P00098000,OPT,QQQ,20141114,P,100,98
QQQ   141114P00099500,OPT,QQQ,20141114,P,100,99.5
QQQ   141114P00099000,OPT,QQQ,20141114,P,100,99
QQQ   141114C00085500,OPT,QQQ,20141114,C,100,85.5
QQQ   141114C00086500,OPT,QQQ,20141114,C,100,86.5
QQQ   141114C00086000,OPT,QQQ,20141114,C,100,86
QQQ   141114C00087500,OPT,QQQ,20141114,C,100,87.5
QQQ   141114C00087000,OPT,QQQ,20141114,C,100,87
QQQ   141114C00088500,OPT,QQQ,20141114,C,100,88.5
QQQ   141114C00089500,OPT,QQQ,20141114,C,100,89.5
QQQ   141114P00085500,OPT,QQQ,20141114,P,100,85.5
QQQ   141114P00086500,OPT,QQQ,20141114,P,100,86.5
QQQ   141114P00086000,OPT,QQQ,20141114,P,100,86
QQQ   141114P00087500,OPT,QQQ,20141114,P,100,87.5
QQQ   141114P00087000,OPT,QQQ,20141114,P,100,87
QQQ   141114P00088500,OPT,QQQ,20141114,P,100,88.5
QQQ   141114P00089500,OPT,QQQ,20141114,P,100,89.5
QQQ   141114C00080000,OPT,QQQ,20141114,C,100,80
QQQ   141114C00081000,OPT,QQQ,20141114,C,100,81
QQQ   141114C00082000,OPT,QQQ,20141114,C,100,82
QQQ   141114C00083500,OPT,QQQ,20141114,C,100,83.5
QQQ   141114C00083000,OPT,QQQ,20141114,C,100,83
QQQ   141114C00084500,OPT,QQQ,20141114,C,100,84.5
QQQ   141114C00084000,OPT,QQQ,20141114,C,100,84
QQQ   141114C00085000,OPT,QQQ,20141114,C,100,85
QQQ   141114P00080000,OPT,QQQ,20141114,P,100,80
QQQ   141114P00081000,OPT,QQQ,20141114,P,100,81
QQQ   141114P00082000,OPT,QQQ,20141114,P,100,82
QQQ   141114P00083500,OPT,QQQ,20141114,P,100,83.5
QQQ   141114P00083000,OPT,QQQ,20141114,P,100,83
QQQ   141114P00084500,OPT,QQQ,20141114,P,100,84.5
QQQ   141114P00084000,OPT,QQQ,20141114,P,100,84
QQQ   141114P00085000,OPT,QQQ,20141114,P,100,85
QQQ   141114C00074000,OPT,QQQ,20141114,C,100,74
QQQ   141114C00075000,OPT,QQQ,20141114,C,100,75
QQQ   141114C00076000,OPT,QQQ,20141114,C,100,76
QQQ   141114C00077000,OPT,QQQ,20141114,C,100,77
QQQ   141114C00078000,OPT,QQQ,20141114,C,100,78
QQQ   141114C00079000,OPT,QQQ,20141114,C,100,79
QQQ   141114P00074000,OPT,QQQ,20141114,P,100,74
QQQ   141114P00075000,OPT,QQQ,20141114,P,100,75
QQQ   141114P00076000,OPT,QQQ,20141114,P,100,76
QQQ   141114P00077000,OPT,QQQ,20141114,P,100,77
QQQ   141114P00078000,OPT,QQQ,20141114,P,100,78
QQQ   141114P00079000,OPT,QQQ,20141114,P,100,79
QQQ   141114C00072000,OPT,QQQ,20141114,C,100,72
QQQ   141114C00073000,OPT,QQQ,20141114,C,100,73
QQQ   141114P00072000,OPT,QQQ,20141114,P,100,72
QQQ   141114P00073000,OPT,QQQ,20141114,P,100,73
QQQ   141114C00105500,OPT,QQQ,20141114,C,100,105.5
QQQ   141114C00106500,OPT,QQQ,20141114,C,100,106.5
QQQ   141114P00105500,OPT,QQQ,20141114,P,100,105.5
QQQ   141114P00106500,OPT,QQQ,20141114,P,100,106.5
QQQ   141114C00107500,OPT,QQQ,20141114,C,100,107.5
QQQ   141114C00108500,OPT,QQQ,20141114,C,100,108.5
QQQ   141114P00107500,OPT,QQQ,20141114,P,100,107.5
QQQ   141114P00108500,OPT,QQQ,20141114,P,100,108.5
QQQ   141114P00083500,OPT,QQQ,20141114,P,100,83.5
QQQ   141114P00083500,OPT,QQQ,20141114,P,100,83.5
QQQ   141114P00084000,OPT,QQQ,20141114,P,100,84
QQQ   141114P00084000,OPT,QQQ,20141114,P,100,84
QQQ   141114P00084500,OPT,QQQ,20141114,P,100,84.5
QQQ   141114P00084500,OPT,QQQ,20141114,P,100,84.5
QQQ   141114P00085000,OPT,QQQ,20141114,P,100,85
QQQ   141114P00085000,OPT,QQQ,20141114,P,100,85
QQQ   141114P00085500,OPT,QQQ,20141114,P,100,85.5
QQQ   141114P00085500,OPT,QQQ,20141114,P,100,85.5
QQQ   141114P00086000,OPT,QQQ,20141114,P,100,86
QQQ   141114P00086000,OPT,QQQ,20141114,P,100,86
QQQ   141114P00086500,OPT,QQQ,20141114,P,100,86.5
QQQ   141114P00086500,OPT,QQQ,20141114,P,100,86.5
QQQ   141114P00087000,OPT,QQQ,20141114,P,100,87
QQQ   141114P00087000,OPT,QQQ,20141114,P,100,87
QQQ   141114P00087500,OPT,QQQ,20141114,P,100,87.5
QQQ   141114P00087500,OPT,QQQ,20141114,P,100,87.5
QQQ   141114P00088000,OPT,QQQ,20141114,P,100,88
QQQ   141114P00088000,OPT,QQQ,20141114,P,100,88
QQQ   141114P00088500,OPT,QQQ,20141114,P,100,88.5
QQQ   141114P00088500,OPT,QQQ,20141114,P,100,88.5
QQQ   141114P00089000,OPT,QQQ,20141114,P,100,89
QQQ   141114P00089000,OPT,QQQ,20141114,P,100,89
QQQ   141114P00089500,OPT,QQQ,20141114,P,100,89.5
QQQ   141114P00089500,OPT,QQQ,20141114,P,100,89.5
QQQ   141114P00090000,OPT,QQQ,20141114,P,100,90
QQQ   141114P00090000,OPT,QQQ,20141114,P,100,90
QQQ   141114P00090500,OPT,QQQ,20141114,P,100,90.5
QQQ   141114P00090500,OPT,QQQ,20141114,P,100,90.5
QQQ   141114P00091000,OPT,QQQ,20141114,P,100,91
QQQ   141114P00091000,OPT,QQQ,20141114,P,100,91
QQQ   141114P00091500,OPT,QQQ,20141114,P,100,91.5
QQQ   141114P00091500,OPT,QQQ,20141114,P,100,91.5
QQQ   141114P00092000,OPT,QQQ,20141114,P,100,92
QQQ   141114P00092000,OPT,QQQ,20141114,P,100,92
QQQ   141114P00092500,OPT,QQQ,20141114,P,100,92.5
QQQ   141114P00092500,OPT,QQQ,20141114,P,100,92.5
QQQ   141114P00093000,OPT,QQQ,20141114,P,100,93
QQQ   141114P00098000,OPT,QQQ,20141114,P,100,98
QQQ   141114P00098000,OPT,QQQ,20141114,P,100,98
QQQ   141114P00098500,OPT,QQQ,20141114,P,100,98.5
QQQ   141114P00098500,OPT,QQQ,20141114,P,100,98.5
QQQ   141114P00099000,OPT,QQQ,20141114,P,100,99
QQQ   141114P00099000,OPT,QQQ,20141114,P,100,99
QQQ   141114P00099500,OPT,QQQ,20141114,P,100,99.5
QQQ   141114P00099500,OPT,QQQ,20141114,P,100,99.5
QQQ   141114P00100000,OPT,QQQ,20141114,P,100,100
QQQ   141114P00100000,OPT,QQQ,20141114,P,100,100
QQQ   141114P00100500,OPT,QQQ,20141114,P,100,100.5
QQQ   141114P00100500,OPT,QQQ,20141114,P,100,100.5
QQQ   141114P00101000,OPT,QQQ,20141114,P,100,101
QQQ   141114P00101000,OPT,QQQ,20141114,P,100,101
QQQ   141114P00101500,OPT,QQQ,20141114,P,100,101.5
QQQ   141114P00101500,OPT,QQQ,20141114,P,100,101.5
QQQ   141114P00102000,OPT,QQQ,20141114,P,100,102
QQQ   141114P00102000,OPT,QQQ,20141114,P,100,102
QQQ   141114P00102500,OPT,QQQ,20141114,P,100,102.5
QQQ   141114P00102500,OPT,QQQ,20141114,P,100,102.5
QQQ   141114P00103000,OPT,QQQ,20141114,P,100,103
QQQ   141114P00103000,OPT,QQQ,20141114,P,100,103
